threshold,value,rationale
min_car_samples,50.0,Reject laps with too little raw car-channel support for replay or lap comparison.
min_position_samples,100.0,Reject laps with too little position support for geometry or track-map work.
min_lap_coverage_ratio,0.8,Flag laps where raw car telemetry covers too little of the timed lap window.
path_length_tolerance_pct,0.05,Flag position paths that are materially shorter or longer than clean same-race laps.
telemetry_p95_gap_ms,500.0,Flag sustained raw car telemetry cadence gaps.
telemetry_max_gap_ms,2000.0,Flag single large raw car telemetry gaps.
speed_min_kmh,0.0,Catch impossible negative speed values.
speed_max_kmh,380.0,Catch physically/source-improbable speed values.
rpm_min,0.0,Catch impossible negative RPM values.
rpm_max,16000.0,Catch source-improbable RPM values.
gear_min,-1.0,Allow neutral/reverse-like source values while catching impossible gears.
gear_max,9.0,Catch impossible gear values.
shape_rms_min_kmh,25.0,Minimum robust speed-profile RMS excess before shape-only review.
shape_rms_iqr_multiplier,3.0,Race-local robust multiplier for speed-profile outliers.
shape_required_bins,12.0,Require enough equal-time bins before shape classification.
position_segment_mad_multiplier,8.0,Race-local robust multiplier for position segment jumps.
