session_id,year,event_name,catalog_readiness,raw_stream_readiness,replay_readiness,context_readiness,circuit_context_readiness,overall_readiness_score,final_recommendation,schema_importer_follow_up,affected_drivers,affected_replay_windows,severe_replay_windows,affected_rows,affected_session_time_pct,max_window_non_ok_pct,longest_degraded_segment_ms,marker_coordinate_issues,systematic_known_limitations,product_impact
2025-australian-grand-prix-r,2025,Australian Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1507,0,17426,45.245,8.666666666666668,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1454,0,17757,41.185,9.0,1500.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1419,3,15746,43.108,10.909090909090908,1500.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1512,3,16840,40.302,16.666666666666664,1900.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,ready_with_warnings,ready_with_warnings,partial,ready,ready,2,label_in_ui,True,20,1253,23,14579,42.288,13.095238095238097,1500.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-miami-grand-prix-r,2025,Miami Grand Prix,ready_with_warnings,ready_with_warnings,partial,ready_with_warnings,ready,2,label_in_ui,True,20,1427,16,17542,45.372,10.0,2300.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1398,0,17167,39.59,8.0,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1764,0,23043,46.678,9.375,2300.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,19,1252,3,14505,37.438,28.000000000000004,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1636,0,19435,45.587,7.333333333333333,2100.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,19,1788,1,22295,65.356,30.76923076923077,1500.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-british-grand-prix-r,2025,British Grand Prix,ready_with_warnings,ready_with_warnings,partial,ready_with_warnings,ready,2,label_in_ui,True,19,1838,18,23768,58.784,10.333333333333334,2300.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1923,2,24193,55.773,10.333333333333334,1700.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,2234,0,27436,59.034,8.333333333333332,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,ready_with_warnings,ready_with_warnings,partial,ready_with_warnings,ready,2,label_in_ui,True,20,2313,58,31300,62.192,12.0,2000.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-italian-grand-prix-r,2025,Italian Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,19,1145,3,15478,42.795,37.142857142857146,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1445,0,16389,40.509,9.0,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1411,0,17563,34.828,8.0,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-united-states-grand-prix-r,2025,United States Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1691,0,18645,46.577,8.333333333333332,1600.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1769,0,20890,49.858,8.666666666666668,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1255,0,15333,38.1,9.266409266409266,1300.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,1,label_in_ui,True,20,1279,1,14512,43.551,10.0,2000.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay; context panels
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1538,0,17152,48.228,8.333333333333332,1400.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,ready_with_warnings,ready_with_warnings,ready_with_warnings,ready,ready,1,label_in_ui,True,20,1542,2,19164,44.554,13.924050632911392,1300.0,0,session_end_utc missing; position coverage approximated from UTC offsets,launcher; bounded raw API/MCP; desktop replay
